gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Female,20,1960,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,18.0,20.0,Less than high school,"Operators, Fabricators, and Laborers",2405.0,Health doesn't affect work,99
Female,22,1957,Black,Non-immigrant,Single,1.0,,22.0,High school,Sales Occupations,4610.0,Health doesn't affect work,100
Female,15,1964,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,0.0,Health doesn't affect work,101
Female,50,1929,"Non-Black, Non-Hispanic",Non-immigrant,Married,5.0,16.0,32.0,High school,"Operators, Fabricators, and Laborers",16615.0,Health doesn't affect work,102
Male,27,1952,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,20.0,,College and above,Military Occupations,15495.0,Health doesn't affect work,103
Male,17,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,104
Female,16,1963,Black,Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,965.0,Health doesn't affect work,105
Female,20,1959,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,19.0,20.0,High school,"Operators, Fabricators, and Laborers",5110.0,Health doesn't affect work,106
Female,57,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,18.0,,High school,,2275.0,Health doesn't affect work,107
Male,52,1927,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,Less than high school,Professional Specialty Occupations,21530.0,Health doesn't affect work,108
Male,39,1941,Hispanic,Non-immigrant,Married,0.0,22.0,27.0,Less than high school,Managerial Occupations,20005.0,Health doesn't affect work,109
Female,28,1952,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,18.0,20.0,High school,,0.0,Health doesn't affect work,110
Male,38,1942,Black,Non-immigrant,Married,0.0,23.0,33.0,College and above,Clerical and Administrative Support Occupations,18205.0,Health doesn't affect work,111
Female,21,1958,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Clerical and Administrative Support Occupations,3640.0,Health doesn't affect work,112
Female,70,1910,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,6.0,31.0,,Less than high school,,2495.0,Health affects work,113
Female,88,1891,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,8.0,22.0,,Less than high school,,3045.0,Health doesn't affect work,114
Female,60,1920,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,29.0,,High school,,2735.0,Health doesn't affect work,115
Female,37,1942,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Clerical and Administrative Support Occupations,10290.0,Health doesn't affect work,116
Female,85,1894,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,22.0,,College and above,Professional Specialty Occupations,7905.0,Health doesn't affect work,117
Female,70,1910,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,26.0,,High school,,6910.0,Health affects work,118
Female,71,1908,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,19.0,,High school,"Operators, Fabricators, and Laborers",10245.0,Health doesn't affect work,119
Male,30,1949,Black,Non-immigrant,Single,0.0,,,High school,Service Occupations,12070.0,Health doesn't affect work,120
Female,19,1961,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,High school,Service Occupations,1955.0,Health doesn't affect work,121
Female,41,1938,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,18.0,26.0,College and above,Technicians and Related Support Occupations,9060.0,Health doesn't affect work,122
