gender,age,birth_year,race,marital_status,child_number,age_first_childbirth,education,laborforce,occupation,income,poverty_status,profile_id
Female,40,1940.0,"Non-Black, Non-Hispanic",Married,1,19.0,High school,In the labor force,Clerical and Administrative Support Occupations,13260.0,Above poverty line,114
Female,54,1926.0,"Non-Black, Non-Hispanic",Married,1,33.0,High school,In the labor force,"Operators, Fabricators, and Laborers",11250.0,Above poverty line,115
Male,80,1900.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,3756.0,Above poverty line,116
Male,27,1953.0,"Non-Black, Non-Hispanic",Married,1,27.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",20050.0,Above poverty line,117
Female,20,1960.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Sales Occupations,9580.0,Above poverty line,118
Female,56,1924.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,In the labor force,Clerical and Administrative Support Occupations,25800.0,Above poverty line,119
Male,67,1913.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,Less than high school,Not in the labor force,,3078.0,Below poverty line,120
Male,24,1956.0,Hispanic,Single,0,,College and above,Not in the labor force,,3655.0,Above poverty line,121
Female,29,1951.0,"Non-Black, Non-Hispanic",Married,1,28.0,College and above,In the labor force,Clerical and Administrative Support Occupations,3000.0,Above poverty line,122
Male,15,1965.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,1.0,Below poverty line,123
Male,25,1955.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Managerial Occupations,14000.0,Above poverty line,124
Female,40,1940.0,"Non-Black, Non-Hispanic",Married,1,25.0,High school,In the labor force,Sales Occupations,1088.0,Above poverty line,125
Female,41,1939.0,"Non-Black, Non-Hispanic",Married,2,21.0,High school,In the labor force,Managerial Occupations,12047.0,Above poverty line,126
Male,22,1958.0,Hispanic,Single,0,,High school,In the labor force,Service Occupations,1200.0,Below poverty line,127
Female,27,1953.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,6625.0,Above poverty line,128
Female,20,1960.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,8000.0,Above poverty line,129
Female,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,130
Female,28,1952.0,"Non-Black, Non-Hispanic",Married,1,28.0,High school,Not in the labor force,,50.0,Above poverty line,131
Female,76,1904.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,Not in the labor force,,5291.0,Above poverty line,132
Male,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,133
Female,36,1944.0,"Non-Black, Non-Hispanic",Married,4,18.0,High school,Not in the labor force,"Operators, Fabricators, and Laborers",0.0,Below poverty line,134
Female,23,1957.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,706.0,Above poverty line,135
Male,53,1927.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,27477.0,Above poverty line,136
Female,74,1906.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,2520.0,Above poverty line,137
Male,60,1920.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Clerical and Administrative Support Occupations,10441.0,Above poverty line,138
Female,39,1941.0,"Non-Black, Non-Hispanic",Single,1,30.0,High school,In the labor force,Service Occupations,2900.0,Below poverty line,139
Female,3,1977.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,140
Female,46,1934.0,Black,Married,3,24.0,High school,In the labor force,Professional Specialty Occupations,4010.0,Above poverty line,141
Male,42,1938.0,"Non-Black, Non-Hispanic",Married,1,29.0,College and above,In the labor force,Service Occupations,18410.0,Above poverty line,142
Female,13,1967.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,143
Female,19,1961.0,"Non-Black, Non-Hispanic",Married,1,18.0,Less than high school,Not in the labor force,,438.0,Below poverty line,144
Female,64,1916.0,Black,Married,0,,High school,Not in the labor force,,1.0,Above poverty line,145
Female,52,1928.0,"Non-Black, Non-Hispanic",Married,1,25.0,High school,Not in the labor force,,120.0,Above poverty line,146
Female,76,1904.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,1317.0,Below poverty line,147
Male,11,1969.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,148
Male,2,1978.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,149
Female,8,1972.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,150
Female,55,1925.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Professional Specialty Occupations,22655.0,Above poverty line,151
Male,41,1939.0,"Non-Black, Non-Hispanic",Married,1,24.0,College and above,In the labor force,Service Occupations,18986.0,Above poverty line,152
Female,27,1953.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",6585.0,Above poverty line,153
Male,70,1910.0,Black,Married,0,,High school,Not in the labor force,,2592.0,Below poverty line,154
Male,45,1935.0,"Non-Black, Non-Hispanic",Married,4,27.0,College and above,In the labor force,Clerical and Administrative Support Occupations,18855.0,Above poverty line,155
Male,3,1977.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,156
Male,26,1954.0,Hispanic,Single,0,,High school,Not in the labor force,,0.0,Above poverty line,157
Male,42,1938.0,"Non-Black, Non-Hispanic",Married,2,22.0,High school,In the labor force,"Farming, Forestry, and Fishing Occupations",9200.0,Above poverty line,158
Male,63,1917.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,5948.0,Above poverty line,159
Male,9,1971.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,160
Male,20,1960.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Technicians and Related Support Occupations,14782.0,Above poverty line,161
Male,27,1953.0,"Non-Black, Non-Hispanic",Married,1,18.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",9200.0,Above poverty line,162
Female,30,1950.0,"Non-Black, Non-Hispanic",Married,3,21.0,High school,Not in the labor force,,5943.0,Below poverty line,163
Male,20,1960.0,"Non-Black, Non-Hispanic",Married,1,18.0,High school,Not in the labor force,"Precision Production, Craft, and Repair Occupations",2500.0,Below poverty line,164
Male,1,1979.0,Black,Single,0,,Less than high school,,,,Above poverty line,165
Female,63,1917.0,"Non-Black, Non-Hispanic",Married,0,,College and above,Not in the labor force,,46200.0,Above poverty line,166
Male,44,1936.0,"Non-Black, Non-Hispanic",Married,3,29.0,College and above,In the labor force,Professional Specialty Occupations,24075.0,Above poverty line,167
Male,19,1961.0,Hispanic,Single,0,,High school,In the labor force,"Farming, Forestry, and Fishing Occupations",1500.0,Above poverty line,168
Female,46,1934.0,"Non-Black, Non-Hispanic",Married,3,26.0,High school,Not in the labor force,,143.0,Above poverty line,169
Female,37,1943.0,Black,Divorced/widowed,3,26.0,High school,Not in the labor force,,18948.0,Above poverty line,170
Male,56,1924.0,"Non-Black, Non-Hispanic",Married,1,38.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",22312.0,Above poverty line,171
